id,name,suitability
644f5d18-5bfa-45f9-8aa7-401c05b3b9f2,Ana Julia Santos,conservador
01018c18-ecb5-4cb6-b16f-bece97935974,Emilly Moura,moderado-agressivo
65d3336e-dafd-4663-8a53-97792c847074,Luiz Miguel Caldeira,conservador
6a33c027-13f2-4fbf-8bbb-74e6438d11c8,Sarah Souza,moderado-conservador
55252085-c5d6-4b7d-b221-fd3ad76ba8e5,Samuel Oliveira,moderado-agressivo
d79c5046-ef76-4972-becd-370375177662,Luna Araújo,conservador
3d7b7975-cad0-4a0c-a0f4-ccb78a4746ca,Lucca da Paz,conservador
62c71d78-f32e-41e2-9473-3b4715de389a,Dr. Gustavo Henrique Viana,conservador
66e24e1b-3f20-4c62-bb38-aba532908d85,Brenda Campos,conservador
85da8cea-02ca-4503-b61a-5e140e227453,Otávio Silveira,conservador
e0d17414-1177-4f81-bbaf-dd66c6c9f8aa,Kevin Novaes,moderado
30c460c9-dee8-4b0e-bace-01d13d84269a,Augusto Santos,moderado-agressivo
4ed3f4ea-5e44-4d5a-ac33-3191a8172f9a,Leandro Pinto,conservador
6af9c508-a57a-43cb-9ab3-2aecf18f5cea,Ana Beatriz Jesus,
cf0c52f9-5542-495d-b1f3-02b83366c861,Lavínia Farias,
fc8d7c67-ddb8-4f0b-8d0d-358c227a059e,Samuel Nogueira,conservador
3b273d75-dbc5-4b87-9cf0-1fe0587b349c,Luiz Otávio Azevedo,
fe7862cf-c982-45d3-a534-bfec25532913,Luiza Cunha,moderado-conservador
ad3cc781-47b1-4cff-b677-a4903b79d30c,Otávio Sales,moderado-conservador
468592f4-1d89-4d6a-8463-4d2a73ea5adc,Bryan das Neves,agressivo
6745a751-fd32-4a0d-9bed-7f9d23534a3a,Isabelly Moraes,moderado-agressivo
2baa93e0-52fc-452f-8431-57033baff968,Joana da Mata,moderado
2e72408f-e6e2-4a3c-96ed-2b9492b6e181,Eloah Farias,agressivo
2f78a86c-98e5-4de7-8e11-2b53564e0967,Clarice Nunes,conservador
fe47c37e-4321-46f4-8d40-61faaa7bc819,Theo Pereira,moderado-agressivo
1ca37ed6-5aa3-4cda-8b15-682367fd150f,Ana Lívia Silveira,moderado-agressivo
5c5823a9-6299-403c-b2d1-9a4c3b304ee9,Sr. Erick Rezende,moderado
85ad4e7b-5266-4673-b54d-877e0e97996e,Gabrielly Silveira,conservador
cdaa0945-91cd-4c49-824b-1e28b4641fd9,Helena Sales,moderado-conservador
1f7720e3-5ca3-4d58-8cdd-4dde1beeb1da,Dr. Lucca Moraes,moderado-agressivo
